time,FLOW
2014-06-18,0.097
2014-06-19,0.0968
2014-06-20,0.0971
2014-06-21,0.0969
2014-06-22,0.0938
2014-06-23,0.0918
2014-06-24,0.0935
2014-06-25,0.0965
2014-06-26,0.0962
2014-06-27,0.0962
2014-06-28,0.0963
2014-06-29,0.0969
2014-06-30,0.0965
2014-07-01,0.0967
2014-07-02,0.0976
2014-07-03,0.1094
2014-07-04,0.1042
2014-07-05,0.0983
2014-07-06,0.0969
2014-07-07,0.097
2014-07-08,0.097
2014-07-09,0.0978
2014-07-10,0.0969
2014-07-11,0.0982
2014-07-12,0.0962
2014-07-13,0.0958
2014-07-14,0.0961
2014-07-15,0.0961
2014-07-16,0.0945
2014-07-17,0.0944
2014-07-18,0.0929
2014-07-19,0.0927
2014-07-20,0.0934
2014-07-21,0.0939
2014-07-22,0.0915
2014-07-23,0.0878
2014-07-24,0.0929
2014-07-25,0.0988
2014-07-26,0.0894
2014-07-27,0.0883
2014-07-28,0.0881
2014-07-29,0.0869
2014-07-30,0.0874
2014-07-31,0.0874
2014-08-01,0.0883
2014-08-02,0.0883
2014-08-03,0.0884
2014-08-04,0.0872
2014-08-05,0.087
2014-08-06,0.0871
2014-08-07,0.0867
2014-08-08,0.0865
2014-08-09,0.0979
2014-08-10,0.0933
2014-08-11,0.0941
2014-08-12,0.1218
2014-08-13,0.1008
2014-08-14,0.0923
2014-08-15,0.0909
2014-08-16,0.0904
2014-08-17,0.0907
2014-08-18,0.0911
2014-08-19,0.0908
2014-08-20,0.088
2014-08-21,0.0877
2014-08-22,0.0842
2014-08-23,0.0732
2014-08-24,0.1047
2014-08-25,0.093
2014-08-26,0.0883
2014-08-27,0.0853
2014-08-28,0.0801
2014-08-29,0.055
2014-08-30,0.0507
2014-08-31,0.0483
2014-09-01,0.0456
2014-09-02,0.0443
2014-09-03,0.0467
2014-09-04,0.0458
2014-09-05,0.0481
2014-09-06,0.0462
2014-09-07,0.0479
2014-09-08,0.046
2014-09-09,0.0453
2014-09-10,0.0443
2014-09-11,0.0439
2014-09-12,0.0444
2014-09-13,0.0451
2014-09-14,0.0422
2014-09-15,0.0416
2014-09-16,0.0406
2014-09-17,0.0393
2014-09-18,0.0364
2014-09-19,0.0344
